feature,importance
perimeter_worst,0.14758958768017436
area_worst,0.13728734364938738
concave_points_worst,0.12090630723484161
concave_points_mean,0.09624280748328254
radius_worst,0.07155064259650433
perimeter_mean,0.05077463557220861
concavity_mean,0.04862660240339707
radius_mean,0.04779470172890647
area_mean,0.04700956348257989
concavity_worst,0.03982206454557442
area_se,0.028399317680006923
texture_worst,0.016961843205851215
radius_se,0.01683550018686973
compactness_mean,0.015653574324104986
compactness_worst,0.01485617944108436
texture_mean,0.01440470842188065
smoothness_worst,0.013450711684650415
symmetry_worst,0.008513639376340962
perimeter_se,0.007886498810897877
smoothness_mean,0.007009724681714586
concave_points_se,0.006699690645633547
fractal_dimension_worst,0.006587996210377611
concavity_se,0.005313558626203103
fractal_dimension_se,0.005231754846096345
smoothness_se,0.005214352299304925
compactness_se,0.004432366321283122
fractal_dimension_mean,0.0038646126040477163
symmetry_mean,0.003743165359864389
texture_se,0.003706309958717292
symmetry_se,0.0036302389382135733
